职位名称,公司名称,工作地点,薪资,工作经验,学历要求,所属领域,公司状态,公司规模,发布人
Java,中科软,北京 丰台区 六里桥,6-8K,1-3年,本科,计算机软件,已上市,10000人以上,王先生/项目经理
java,北京能科瑞元有限公司,北京 东城区 朝阳门,13-20K,5-10年,本科,互联网,1000-9999人,无,郭先生/项目经理
Java,北信工,北京 海淀区 人民大学,12-16K,3-5年,本科,计算机软件,已上市,500-999人,饶女士/项目经理
Java,中科软科技,北京 海淀区 魏公村,6-10K,1-3年,本科,互联网金融,不需要融资,10000人以上,闫女士/项目经理
Java,衣二三,北京 东城区 东单,30-40K,5-10年,本科,互联网,D轮及以上,500-999人,王先生/项目经理
Java,日产Nissan,北京 朝阳区 豆各庄,30-45K,1年以内,本科,汽车生产,1000-9999人,无,蒋女士/项目经理
Java,京东集团,北京 大兴区 亦庄,20-35K,5-10年,本科,电子商务,已上市,10000人以上,郑先生/项目经理
JAVA开发,中软国际,北京 海淀区 四季青,10-15K,3-5年,本科,计算机软件,已上市,10000人以上,宋女士/项目经理
Java,甲骨文中国,北京 海淀区 上地,15-30K,3-5年,本科,计算机软件,已上市,10000人以上,石先生/项目经理
java,中软国际,北京 海淀区 万柳,15-18K,经验不限,本科,计算机软件,已上市,10000人以上,刘女士/项目经理
java,绛门科技,北京 昌平区 南邵,16-17K,3-5年,本科,计算机软件,已上市,500-999人,李女士/项目经理
Java,北京尚德机构,北京 朝阳区 来广营,15-20K・15薪,5-10年,本科,在线教育,已上市,10000人以上,梁女士/项目经理
Java,自如网,北京 朝阳区 酒仙桥,15-30K,3-5年,本科,O2O,A轮,10000人以上,管女士/项目经理
Java,美团网,北京 朝阳区 望京,30-60K,3-5年,本科,O2O,已上市,10000人以上,潘女士/项目经理
Java,软通动力,北京 海淀区 上地,10-15K,1-3年,本科,计算机软件,已上市,10000人以上,唐女士/项目经理
Java,柯莱特集团,北京 朝阳区 望京,13-15K・13薪,3-5年,本科,计算机软件,已上市,1000-9999人,邹女士/项目经理
Java,第一视频,北京 朝阳区 望京,22-35K,5-10年,本科,媒体,已上市,500-999人,刘先生/项目经理
Java,宜信公司,北京 朝阳区 大望路,20-40K,5-10年,本科,互联网金融,已上市,10000人以上,叶女士/项目经理
Java,好未来,北京 海淀区 双榆树,20-30K,3-5年,本科,互联网,已上市,10000人以上,罗先生/项目经理
Java,北京道迩,北京 丰台区 科技园区,11-16K,3-5年,本科,计算机软件,不需要融资,100-499人,孙先生/项目经理
Java,便利蜂,北京 朝阳区 酒仙桥,25-50K,经验不限,本科,互联网,C轮,10000人以上,曹先生/项目经理
Java,爱保科技,北京 朝阳区 国贸,13-26K,3-5年,本科,互联网,A轮,100-499人,张先生/项目经理
Java,快手,北京 海淀区 五道口,20-40K,1-3年,本科,社交网络,D轮及以上,1000-9999人,张女士/项目经理
Java,小米,北京 海淀区 上地,15-25K,经验不限,本科,互联网,已上市,10000人以上,陈先生/项目经理
Java,柯莱特集团,北京 朝阳区 望京,12-15K,3-5年,本科,计算机软件,已上市,1000-9999人,汪女士/项目经理
java,软通动力,北京 海淀区 马连洼,13-14K,1-3年,本科,计算机软件,已上市,10000人以上,王女士/项目经理
Java,阿里巴巴高德,北京 朝阳区 大望路,25-50K,5-10年,本科,互联网,已上市,1000-9999人,常先生/项目经理
Java,看准网,北京 朝阳区 太阳宫,20-40K,3-5年,本科,人力资源服务,D轮及以上,1000-9999人,果先生/项目经理
Java,瓜子二手车直卖网,北京 朝阳区 酒仙桥,20-40K,3-5年,本科,分类信息,D轮及以上,10000人以上,顾先生/项目经理
Java工程师,跟谁学,北京 海淀区 马连洼,15-30K,3-5年,本科,互联网,已上市,1000-9999人,别先生/HR
Java,山立信息,北京 朝阳区 高碑店,11-18K,5-10年,大专,计算机软件,100-499人,无,郑女士/HR
Java,中科院自动化所,北京 海淀区 中关村,13-26K,经验不限,硕士,其他行业,不需要融资,1000-9999人,研发负责人/HR
Java,阿里巴巴集团,北京 朝阳区 望京,20-40K・16薪,3-5年,本科,互联网,不需要融资,10000人以上,李先生/HR
java,新致软件,北京 西城区 西四,11-14K,3-5年,本科,计算机软件,D轮及以上,1000-9999人,范女士/HR
Java,小米,北京 海淀区 清河,15-30K,3-5年,本科,互联网,已上市,10000人以上,董先生/HR
Java,京北方,北京  ,11-20K,3-5年,本科,互联网金融,C轮,10000人以上,姜女士/HR
Java,vip kid,北京 朝阳区 十里堡,25-50K,3-5年,本科,移动互联网,C轮,1000-9999人,邹先生/HR
java,文德数慧,北京 海淀区 西北旺,11-22K,3-5年,本科,互联网,A轮,500-999人,王先生/HR
Java,宇信科技,北京 西城区 金融街,10-15K,3-5年,本科,计算机软件,已上市,1000-9999人,魏女士/HR
java,元拓科技,北京 朝阳区 朝外,10-20K,3-5年,大专,计算机软件,不需要融资,100-499人,朱女士/HR
Java,爱空间,北京 朝阳区 小营,15-25K,5-10年,大专,互联网,C轮,1000-9999人,谢先生/HR
Java,第四范式,北京 海淀区 上地,15-30K,1-3年,本科,计算机软件,C轮,500-999人,赵先生/HR
Java开发工程师,中科软科技,北京 海淀区 人民大学,6-11K,1-3年,本科,互联网金融,不需要融资,10000人以上,张先生/HR
Java,小米,北京 海淀区 清河,20-30K,3-5年,本科,互联网,已上市,10000人以上,李先生/HR
JAVA Leader,汉朗网科,北京 海淀区 魏公村,18-30K,5-10年,本科,企业服务,B轮,20-99人,杜先生/HR
java,无锡文思海辉,北京 朝阳区 望京,14-22K・13薪,3-5年,本科,计算机软件,不需要融资,10000人以上,周女士/HR
Java技术专家,美团网,北京 朝阳区 望京,40-50K,5-10年,本科,O2O,已上市,10000人以上,HR/HR
Java,软通动力,北京 海淀区 西二旗,13-17K,3-5年,本科,计算机软件,已上市,10000人以上,马女士/HR
Java,中信银行,北京 朝阳区 十里堡,22-40K,3-5年,本科,银行,已上市,1000-9999人,张女士/HR
Java,中信银行,北京 朝阳区 十里堡,25-40K,5-10年,本科,银行,已上市,1000-9999人,李先生/HR
Java,中科软科技,北京 大兴区 亦庄,5-10K,1-3年,本科,计算机软件,已上市,10000人以上,岳先生/HR
Java,神州数码,北京 朝阳区 亚运村,8-13K,3-5年,本科,计算机软件,已上市,10000人以上,郭女士/HR
Java,宇信科技,北京 丰台区 马家堡,17-23K,5-10年,本科,计算机软件,已上市,1000-9999人,訾女士/HR
Java,达达-京东到家,北京 大兴区 亦庄,20-25K,3-5年,本科,O2O,D轮及以上,1000-9999人,仇先生/HR
Java,中信百信银行,北京 朝阳区 小营,30-50K,1年以内,本科,银行,不需要融资,500-999人,董先生/HR
java电商,六合新创科技,北京 东城区 朝阳门,12-16K,3-5年,本科,计算机软件,未融资,100-499人,马先生/HR
java,柯莱特集团,北京 海淀区 中关村,13-20K,3-5年,本科,计算机软件,已上市,1000-9999人,刘女士/HR
Java,天阳科技,北京 朝阳区 东大桥,8-13K,经验不限,本科,计算机软件,已上市,1000-9999人,康女士/HR
java,北京能科瑞元有限公司,北京 大兴区 亦庄,17-20K,5-10年,本科,互联网,1000-9999人,无,郭先生/HR
Java开发Leader,格步科技,北京 海淀区 中关村,35-60K,5-10年,本科,移动互联网,D轮及以上,1000-9999人,李先生/Recruiter
资深Java工程师,小米,北京 海淀区 上地,25-40K・15薪,3-5年,本科,互联网,已上市,10000人以上,董先生/Recruiter
Java,超星集团,北京 海淀区 上地,13-23K,3-5年,本科,在线教育,不需要融资,1000-9999人,孟先生/Recruiter
Java,高德地图,北京 朝阳区 大望路,25-45K,3-5年,本科,互联网,已上市,1000-9999人,刘先生/Recruiter
Java,VIPKID,北京 朝阳区 十里堡,25-40K,5-10年,本科,移动互联网,D轮及以上,10000人以上,李先生/Recruiter
Java工程师,中科软,北京 东城区 雍和宫,7-12K,1-3年,本科,计算机软件,已上市,10000人以上,吴先生/Recruiter
资深Java,松果出行,北京 朝阳区 望京,30-60K・14薪,5-10年,本科,移动互联网,C轮,1000-9999人,王女士/Recruiter
JAVA,团车网,北京  ,20-30K,5-10年,大专,O2O,已上市,500-999人,毕女士/Recruiter
Java,旷视MEGVII,北京 海淀区 中关村,20-35K,3-5年,本科,计算机服务,C轮,1000-9999人,陈先生/Recruiter
Java,中国民生银行,北京 东城区 安定门,20-40K,3-5年,硕士,银行,不需要融资,10000人以上,陶先生/Recruiter
Java,汇金资本,北京 海淀区 知春路,12-25K,经验不限,硕士,企业服务,不需要融资,20-99人,宋先生/Recruiter
Java,宝利软件,北京 西城区 南礼士路,11-20K,5-10年,本科,计算机软件,已上市,500-999人,吴先生/Recruiter
Java,京东数字科技,北京 大兴区 次渠,25-35K,3-5年,本科,互联网,B轮,1000-9999人,赵先生/Recruiter
Java backend,vmware,北京 海淀区 中关村,15-30K,3-5年,本科,计算机软件,已上市,10000人以上,Recruiter/Recruiter
Java,北京京航航天304所,北京 丰台区 云岗,9-14K,1-3年,本科,计算机软件,不需要融资,500-999人,王女士/Recruiter
Java,高德地图,北京 朝阳区 望京,18-35K,1-3年,本科,互联网,已上市,1000-9999人,周先生/Recruiter
Java,Boss直聘,北京 朝阳区 太阳宫,25-50K・16薪,3-5年,本科,人力资源服务,D轮及以上,1000-9999人,王先生/Recruiter
Java,软通动力,北京 海淀区 马连洼,11-18K,3-5年,本科,计算机软件,已上市,10000人以上,孙女士/Recruiter
Java,中科软,北京 朝阳区 十里堡,6-10K,3-5年,本科,互联网金融,不需要融资,1000-9999人,李女士/Recruiter
Java,宇信科技,北京 朝阳区 十里堡,12-16K,3-5年,本科,计算机软件,已上市,1000-9999人,郑女士/Recruiter
Java工程师,学慧网,北京 大兴区 亦庄,10-15K,3-5年,本科,在线教育,未融资,500-999人,李女士/Recruiter
java,艾融软件,北京 海淀区 上地,10-14K,3-5年,本科,互联网,已上市,500-999人,刘女士/Recruiter
JAVA,百度,北京 海淀区 马连洼,15-30K,3-5年,本科,互联网,已上市,10000人以上,李女士/Recruiter
Java,中科软,北京 海淀区 知春路,10-15K,1-3年,本科,计算机软件,已上市,10000人以上,田女士/Recruiter
Java研发,阿里巴巴集团,北京 朝阳区 呼家楼,20-40K,3-5年,本科,互联网,不需要融资,10000人以上,翟先生/Recruiter
Java,阳光汇点,北京 海淀区 西北旺,20-25K,5-10年,本科,计算机软件,未融资,100-499人,李女士/Recruiter
Java,阿里巴巴集团,北京 朝阳区 望京,10-15K,1年以内,硕士,互联网,不需要融资,10000人以上,周先生/Recruiter
Java,山立信息,北京 海淀区 知春路,14-18K,5-10年,本科,计算机软件,100-499人,无,郑女士/Recruiter
Java developer,思沃创智,北京 朝阳区 望京,17-21K,5-10年,本科,移动互联网,未融资,20-99人,张女士/Recruiter
Java,汇创信息技术有限公司,北京 朝阳区 大屯,11-18K,3-5年,大专,计算机软件,未融资,100-499人,汪女士/Recruiter
Java,金泰亚盛,北京 石景山区 鲁谷,8-11K,1-3年,本科,计算机软件,D轮及以上,100-499人,王女士/招聘主管
Java工程师,VIPKID,北京 东城区 雍和宫,20-40K,5-10年,本科,移动互联网,D轮及以上,10000人以上,许女士/招聘主管
Java,金泰亚盛,北京 丰台区 世界公园,13-20K,5-10年,大专,计算机软件,D轮及以上,100-499人,王女士/招聘主管
Java,有利网,北京 海淀区 苏州街,18-36K,3-5年,本科,互联网金融,不需要融资,10000人以上,张女士/招聘主管
java,法本,北京 昌平区 沙河,11-15K,3-5年,大专,计算机软件,已上市,1000-9999人,沈女士/招聘主管
高级java/架构,每日优鲜,北京 朝阳区 望京,20-40K・16薪,3-5年,本科,电子商务,D轮及以上,1000-9999人,胡先生/招聘主管
Java,威马,北京 朝阳区 太阳宫,15-30K,5-10年,本科,互联网,C轮,1000-9999人,产品负责人/招聘主管
java,元拓科技,北京 昌平区 昌平,10-12K,1-3年,大专,计算机软件,不需要融资,100-499人,朱女士/招聘主管
Java,美菜网,北京 朝阳区 安贞,20-40K,5-10年,本科,移动互联网,D轮及以上,10000人以上,邓先生/招聘主管
java,武汉佰钧成,北京 朝阳区 三元桥,12-22K,3-5年,大专,计算机软件,不需要融资,10000人以上,陈女士/招聘主管
Java,阿里云,北京 朝阳区 望京,25-50K,3-5年,本科,互联网,已上市,1000-9999人,贾先生/招聘主管
Java,甲骨文中国,北京 海淀区 上地,15-25K,5-10年,本科,计算机软件,已上市,10000人以上,石先生/招聘主管
高级java,东华博雅,北京 朝阳区 朝阳门,15-22K,5-10年,大专,计算机软件,不需要融资,1000-9999人,潘女士/招聘主管
java中高级,京北方,北京 海淀区 万柳,14-20K,5-10年,本科,计算机软件,D轮及以上,10000人以上,曹女士/招聘主管
高级Java,宇信科技,北京 朝阳区 亮马桥,12-15K,3-5年,本科,计算机软件,已上市,1000-9999人,刘女士/招聘主管
Java,法本,北京 朝阳区 来广营,15-19K,3-5年,本科,计算机软件,已上市,1000-9999人,赵女士/招聘主管
Java,金泰亚盛,北京 丰台区 世界公园,15-24K,3-5年,大专,计算机软件,D轮及以上,100-499人,王女士/招聘主管
Java,阿里健康,北京 朝阳区 望京,25-50K,3-5年,本科,移动互联网,已上市,500-999人,杜先生/招聘主管
Java,DVT,北京 大兴区 次渠,6-11K,1-3年,本科,互联网,未融资,100-499人,孔先生/招聘主管
Java,中科软,北京 丰台区 六里桥,7-14K,1-3年,本科,互联网,已上市,10000人以上,刘先生/招聘主管
Java,秒啊,北京 海淀区 西三旗,18-24K,5-10年,大专,移动互联网,B轮,100-499人,潘先生/招聘主管
Java（合众）,中科软,北京  ,9-18K,1-3年,本科,计算机软件,已上市,10000人以上,施女士/招聘主管
Java,去哪儿,北京 海淀区 苏州街,20-35K,1-3年,本科,互联网,不需要融资,1000-9999人,苏先生/招聘主管
Java,蘑菇智行,北京 东城区 和平里,18-30K,3-5年,本科,互联网,A轮,500-999人,冯女士/招聘主管
java工程师,ASDC,北京 朝阳区 来广营,13-16K,3-5年,本科,计算机软件,已上市,1000-9999人,徐女士/招聘主管
Java工程师,芯智引擎,北京 海淀区 知春路,15-25K,1-3年,本科,移动互联网,不需要融资,20-99人,刘女士/招聘主管
Java,义利北冰洋,北京 大兴区 西红门,10-15K,3-5年,大专,食品/饮料/烟酒,不需要融资,1000-9999人,刘先生/招聘主管
高级Java工程师,瓜子二手车直卖网,北京 朝阳区 酒仙桥,25-50K・15薪,5-10年,本科,分类信息,D轮及以上,10000人以上,梅先生/招聘主管
java,深得,北京 朝阳区 酒仙桥,20-35K,5-10年,本科,企业服务,不需要融资,500-999人,马女士/招聘主管
高级Java工程师,中关村科金,北京 东城区 朝阳门,20-35K・13薪,3-5年,本科,互联网,C轮,10000人以上,李先生/招聘主管
Java,超星集团,北京  ,12-24K,3-5年,本科,在线教育,不需要融资,1000-9999人,王先生/研发经理
JAVA,中软国际,北京 昌平区 沙河,11-19K,3-5年,本科,计算机软件,已上市,10000人以上,高女士/研发经理
JAVA架构师,百度,北京 海淀区 西北旺,40-80K,5-10年,本科,互联网,已上市,10000人以上,王女士/研发经理
java,东华博雅,北京 大兴区 亦庄,15-20K,5-10年,本科,计算机软件,不需要融资,1000-9999人,董女士/研发经理
JAVA工程师,宇信科技,北京 海淀区 西二旗,10-12K,3-5年,本科,计算机软件,已上市,1000-9999人,马女士/研发经理
Java高级开发工程师,方正电子,北京 海淀区 上地,9-18K,经验不限,本科,互联网,已上市,10000人以上,闫先生/研发经理
Java软件工程师,中科软,北京 海淀区 西北旺,9-15K,3-5年,本科,计算机软件,已上市,10000人以上,王先生/研发经理
Java,北京摩拜科技有限公司,北京 朝阳区 朝外,20-35K,3-5年,本科,互联网,已上市,10000人以上,闫先生/研发经理
Java,阅文集团,北京 朝阳区 小营,18-35K,3-5年,本科,互联网,已上市,1000-9999人,张先生/研发经理
java工程师,宇信科技,北京 朝阳区 十里堡,10-20K,3-5年,本科,计算机软件,已上市,1000-9999人,金女士/研发经理
JAVA 高级工程师,OKCoin,北京 海淀区 上地,30-40K・13薪,3-5年,本科,互联网,B轮,500-999人,于先生/研发经理
Java,金泰亚盛,北京 石景山区 古城,12-15K,3-5年,大专,计算机软件,D轮及以上,100-499人,王女士/研发经理
Java,中科软,北京 东城区 雍和宫,8-15K,3-5年,本科,计算机软件,已上市,10000人以上,刘先生/研发经理
高级Java工程师,58集团,北京 朝阳区 大山子,20-35K,5-10年,本科,互联网,不需要融资,10000人以上,钱先生/研发经理
高级Java,人人公司,北京 朝阳区 酒仙桥,20-40K,5-10年,本科,互联网,已上市,1000-9999人,田女士/研发经理
Java,阿里巴巴集团,北京 朝阳区 望京,30-60K,5-10年,本科,互联网,不需要融资,10000人以上,文先生/研发经理
Java,北京车智汇通,北京 海淀区 中关村,15-25K,1年以内,本科,互联网,天使轮,100-499人,张先生/研发经理
Java中级工程师,神州数码,北京  ,10-15K,3-5年,本科,计算机软件,已上市,10000人以上,苗先生/研发经理
java工程师,先进数通,北京 西城区 西单,9-14K・13薪,3-5年,本科,计算机软件,已上市,1000-9999人,吴女士/研发经理
Java（呼叫中心）,百度,北京 海淀区 马连洼,15-30K,3-5年,本科,互联网,已上市,10000人以上,耿女士/研发经理
Java,北京瑞友科技,北京 海淀区 西北旺,10-20K,3-5年,大专,计算机软件,不需要融资,1000-9999人,李女士/研发经理
Java(EBS),Boss直聘,北京 朝阳区 太阳宫,20-40K,1-3年,本科,人力资源服务,D轮及以上,1000-9999人,陆先生/研发经理
高级JAVA,艾融软件,北京 海淀区 西三旗,14-22K,3-5年,本科,互联网,已上市,500-999人,刘女士/研发经理
Java,当当网,北京 朝阳区 柳芳,20-30K,3-5年,本科,电子商务,已上市,1000-9999人,黄女士/研发经理
java导师(J12015),传智播客,北京 昌平区 回龙观,25-30K,经验不限,学历不限,在线教育,不需要融资,1000-9999人,王女士/研发经理
java,软通动力,北京 海淀区 西北旺,14-18K,1-3年,本科,计算机软件,已上市,10000人以上,钱女士/研发经理
Java,看准网,北京 朝阳区 太阳宫,30-50K,3-5年,本科,人力资源服务,D轮及以上,1000-9999人,单先生/研发经理
Java,英大泰和人寿,北京 东城区 北京站,10-18K,3-5年,本科,计算机软件,不需要融资,10000人以上,彭先生/研发经理
